hand,age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,rank_points,won,surface,draw_size,tourney_level,tourney_date,best_of,round,minutes
R,37.4,8.0,4.0,69.0,35.0,29.0,20.0,10.0,3.0,3.0,284.0,175.0,1,Hard,32,A,2022,3,R32,94.0
R,24.6,5.0,2.0,101.0,60.0,44.0,22.0,16.0,3.0,5.0,40.0,1165.0,1,Hard,32,A,2020,3,R32,142.0
R,20.6,6.0,4.0,67.0,32.0,27.0,15.0,10.0,5.0,7.0,104.0,571.0,1,Hard,32,A,2017,3,R32,121.0
R,30.7,22.0,7.0,106.0,67.0,51.0,13.0,14.0,12.0,15.0,16.0,2545.0,0,Grass,32,A,2017,3,R32,121.0
R,22.4,3.0,3.0,62.0,37.0,21.0,10.0,9.0,4.0,9.0,152.0,373.0,0,Hard,64,A,2018,3,R16,66.0
R,25.6,8.0,4.0,61.0,31.0,24.0,16.0,10.0,3.0,5.0,22.0,1600.0,0,Hard,64,M,2019,3,R32,62.0
R,28.8,2.0,4.0,64.0,39.0,27.0,9.0,10.0,4.0,7.0,112.0,709.0,0,Hard,32,A,2021,3,R16,101.0
R,33.2,6.0,1.0,73.0,43.0,33.0,17.0,11.0,1.0,2.0,71.0,715.0,1,Hard,32,A,2018,3,R32,102.0
R,24.7,3.0,0.0,42.0,19.0,11.0,10.0,7.0,1.0,5.0,17.0,2195.0,0,Hard,32,A,2022,3,QF,64.0
R,23.3,1.0,2.0,70.0,50.0,25.0,13.0,10.0,6.0,10.0,31.0,1370.0,0,Hard,32,A,2022,3,R32,99.0
R,29.4,4.0,1.0,66.0,45.0,28.0,12.0,11.0,3.0,6.0,76.0,725.0,0,Grass,32,A,2019,3,R16,76.0
R,23.6,5.0,5.0,114.0,59.0,45.0,27.0,18.0,2.0,6.0,87.0,610.0,0,Hard,64,A,2022,3,R64,189.0
R,21.3,8.0,3.0,119.0,73.0,52.0,24.0,17.0,5.0,9.0,34.0,1255.0,0,Clay,64,M,2019,3,R64,180.0
R,22.9,2.0,1.0,19.0,11.0,8.0,4.0,3.0,0.0,0.0,83.0,624.0,1,Hard,64,A,2022,3,R64,34.0
R,21.5,4.0,0.0,53.0,29.0,26.0,15.0,10.0,1.0,1.0,52.0,954.0,1,Clay,64,M,2019,3,R64,75.0
L,26.3,9.0,2.0,58.0,37.0,32.0,13.0,11.0,2.0,2.0,54.0,860.0,1,Clay,32,A,2017,3,R16,75.0
R,21.3,5.0,0.0,50.0,27.0,25.0,10.0,9.0,1.0,2.0,281.0,189.0,1,Clay,32,A,2018,3,R32,55.0
R,20.6,7.0,4.0,104.0,71.0,53.0,11.0,18.0,5.0,10.0,105.0,583.0,0,Hard,128,G,2017,5,R64,156.0
R,25.0,2.0,6.0,72.0,38.0,23.0,15.0,8.0,7.0,10.0,42.0,963.0,0,Clay,64,M,2017,3,R32,82.0
